Index	Sentence	Surprisal	PPL
267	a a that in with a.	55.93949890136719	1.9688638874455537e+24
268	a when can or and.	58.07000732421875	1.6576152935598728e+25
269	the as or.	41.83091640472412	1.4687103911680095e+18
270	and and like.	33.51773929595947	360221161395103.75
271	a a of as a to or.	62.7000617980957	1.6993813741158533e+27
272	a of a and a plus and.	56.13737106323242	2.3996642491387452e+24
273	in the with and in with.	45.5178337097168	5.863325551220957e+19
274	another of the a above the.	58.87136793136597	3.69411349892495e+25
275	a a with a and and six.	60.97279071807861	3.0209709919803486e+26
276	between as nectar to.	56.6407356262207	3.9697113901592387e+24
277	and in a in a.	46.32454299926758	1.3136915344043562e+20
278	and can if.	37.599077224731445	2.1333974092378812e+16
279	a a with two and on a.	62.493953704833984	1.38286328519251e+27
280	a by the of a on the.	58.539605140686035	2.6511083977038363e+25
281	the with an of.	47.52932548522949	4.3825187901638476e+20
282	for and.	32.605955600738525	144739342212037.34
283	a by or.	40.6430139541626	4.477511275752109e+17
284	a and on an to.	48.209617614746094	8.653083702955563e+20
285	a and the with.	40.893763065338135	5.753546713765087e+17
286	like or.	34.20633792877197	717172797917722.4
287	a a to or.	45.819509983062744	7.927939899234653e+19
288	a or with a in the.	52.62486791610718	7.156319913208946e+22
289	to and.	31.565861701965332	51153994645618.62
290	to with.	32.465903759002686	125823816044124.14
291	a a who.	36.8765230178833	1.0357870059403802e+16
292	the to to.	37.01929950714111	1.194751267343983e+16
293	like to and with each.	46.1778564453125	1.1344575253350233e+20
294	an to as a.	47.3182692527771	3.548650508963108e+20
295	a in the.	36.44538688659668	6730237896442140.0
296	a and a.	30.580713272094727	19100072983409.086
297	in and.	30.680837631225586	21111470435260.867
298	can or.	35.27627944946289	2090708606220686.2
299	a a with four.	45.03301668167114	3.6106937008490934e+19
300	the of can and.	45.84867286682129	8.162545753649634e+19
301	the of a into a.	49.60162353515625	3.48105908508781e+21
302	some because of.	37.929582595825195	2.9689878631650276e+16
303	a an or who with.	55.38420486450195	1.1299378516193851e+24
304	and and.	31.347122192382812	41103820626100.6
305	as and.	30.94188928604126	27408910742707.445
306	a a that and.	43.693960666656494	9.463374129348782e+18
307	with four and a.	50.148611068725586	6.015407628851884e+21
308	like to by.	38.01614284515381	3.237435024750349e+16
309	can or but by.	48.803823947906494	1.5675862172326064e+21
310	the of so that.	42.458608627319336	2.751309426453193e+18
311	a a of for to on.	56.19242477416992	2.5354789200924767e+24
312	of a above by.	44.9554181098938	3.341104172775578e+19
313	can and as a.	43.08586263656616	5.151721664903624e+18
314	in or in like.	38.533408641815186	5.430586580088445e+16
315	a a.	30.658621788024902	20647632668740.977
316	a a with a at the.	56.28115653991699	2.7707396551090705e+24
317	the by and.	41.68161678314209	1.265016428749957e+18
318	the both in and.	46.045780181884766	9.940958205816447e+19
319	a a that in the of the.	56.84083938598633	4.849119558447084e+24
320	and and when.	34.57236957550049	1034163803229929.0
321	for and for.	31.931974411010742	73770084849268.77
322	and since the of the.	47.20774459838867	3.177334820133046e+20
323	from the of the.	38.74100351333618	6.6835014904344344e+16
324	a in and.	38.83223819732666	7.32195017193783e+16
325	a that.	31.11823081970215	32694592713086.844
326	the.	27.492155075073242	870344611269.1251
327	a a where no.	49.55448532104492	3.3207755935820777e+21
328	with or.	35.086798667907715	1729828504063911.0
329	some and to in.	48.15159606933594	8.165306054697035e+20
330	the the in.	38.596741676330566	5.785646959881801e+16
331	a a of for at with a.	63.667659759521484	4.4721185669450786e+27
332	a a and can of or.	56.5776629447937	3.727063704066382e+24
333	a may to and.	47.06074666976929	2.7429796962051097e+20
334	a of a by on three.	54.2044358253479	3.472860779677176e+23
335	a a to or from an.	50.48001050949097	8.378957945777661e+21
336	to who to through.	45.40954065322876	5.261540667043907e+19
337	by or a after.	45.86528539657593	8.29927888488555e+19
338	of can or of a.	51.76287078857422	3.022241403540191e+22
339	a a of that.	37.17371129989624	1.3942404852577444e+16
340	a like a to a.	46.832008361816406	2.18214099344777e+20
341	a at as a or a.	56.74354362487793	4.399546172631191e+24
342	can to or a in a.	59.05680513381958	4.446769195304869e+25
343	the of under the of.	54.39835739135742	4.216056668713235e+23
344	of any a in of the.	56.66084575653076	4.050350921600959e+24
345	a in of all.	41.12670564651489	7.262753781153069e+17
346	by and.	31.40498161315918	43552212131924.77
347	a a of the by of.	53.97744369506836	2.7676167096092192e+23
348	will and to and.	46.112146854400635	1.0623091631375096e+20
349	will into and.	43.742377281188965	9.932831737030205e+18
350	of to away from.	42.088743686676025	1.9006805624170179e+18
351	of that during the and.	49.624473571777344	3.5615171467623373e+21
352	for and.	32.605955600738525	144739342212037.34
353	in and some and.	44.945531368255615	3.3082342947745292e+19
354	the a and the of the.	46.551196575164795	1.6478884074751525e+20
355	the and can down and.	54.566490173339844	4.987990057225017e+23
356	the can and.	38.34693717956543	4.506747380500495e+16
357	by the of in the.	48.458534240722656	1.1098748795534226e+21
358	an at can the and a.	58.080081939697266	1.6743995356830348e+25
359	the of.	33.63325595855713	404331401575865.5
360	an a a which can or.	63.554019927978516	3.9917208040545167e+27
361	the a of for or into.	58.376824378967285	2.2528521915252915e+25
362	the to the in and.	52.067108154296875	4.096922607840244e+22
363	the an for and for the.	49.557180404663086	3.3297374325120764e+21
364	which can and.	41.37689208984375	9.327299300772838e+17
365	the the of the and the of.	52.167320251464844	4.528760155138585e+22
366	up of in.	37.3910551071167	1.7327220637831414e+16
367	a to or for.	43.18989706039429	5.71654948510545e+18
368	the who the and what to.	52.06041955947876	4.069611391165488e+22
369	a for a and a.	40.495704650878906	3.864213119502875e+17
370	a a where the and.	52.98031234741211	1.0210741981191598e+23
371	four and a on each.	47.910404205322266	6.415406386274236e+20
372	for and.	32.605955600738525	144739342212037.34
373	the to and.	39.976112365722656	2.2982909576210454e+17
374	the the of the and can or.	62.87763595581055	2.0295994229206227e+27
375	a an of an of that.	52.24965047836304	4.917392608937356e+22
376	can by or as at.	53.699363708496094	2.0957396996177976e+23
377	in a a will of or and.	60.758328437805176	2.437848821627831e+26
378	during a and the.	47.46940088272095	4.127611964198671e+20
379	a a inside a for.	55.531837463378906	1.3096962387678027e+24
380	may of or.	42.94442939758301	4.4722772182007864e+18
381	on a for and to.	45.835227966308594	8.053535595526907e+19
