Index	Sentence	Surprisal	PPL
517	can in or by or in.	6.315961837768555	553.3340222813906
518	the though can in the.	6.974526405334473	1069.0507726224737
519	a a that a or to.	6.167277812957764	476.8861642127
520	the along the of the the.	6.373558044433594	586.1396339795328
521	can by or by an or.	6.3562517166137695	576.0829821855918
522	in and.	6.136167526245117	462.2785013544068
523	a and about the.	6.071080684661865	433.1485257009929
524	a and to.	5.978320598602295	394.7768223841374
525	and of.	6.199716567993164	492.60940003398036
526	in and.	6.136167526245117	462.2785013544068
527	a for.	6.646356105804443	769.9735054924976
528	the with or.	7.326947212219238	1520.7322058363725
529	on the and can or.	6.151768684387207	469.54713347013313
530	for or of.	6.473402976989746	647.6840349104907
531	a a for and into.	6.282723903656006	535.2446347805609
532	can to after.	6.83388614654541	928.7932347956518
533	the the from the.	6.460517883300781	639.3921013328082
534	the two of and.	6.269039630889893	527.9700881602602
535	a a with a.	6.059230327606201	428.0458549626687
536	with a.	6.100428581237793	446.0488973113451
537	on and with.	5.6977362632751465	298.19160905170963
538	and can.	5.892969608306885	362.48011162500893
539	a a that and on.	5.78784704208374	326.30973644274064
540	a can in the by or.	6.393823623657227	598.1392723000641
541	to in the and to.	5.755963325500488	316.069879089955
542	that between.	7.434811115264893	1693.9377297941323
543	a for the with a an and a.	5.552124500274658	257.78463809630966
544	of or.	6.6642889976501465	783.905907849705
545	and in and.	6.172644138336182	479.4521693898188
546	a a for and.	6.416990756988525	612.1582068247662
547	a a of the who on.	5.974663257598877	393.3356260042104
548	a in the must a.	5.9842729568481445	397.1336829385653
549	in a a for or.	6.507007598876953	669.8190483894381
550	a as and.	6.757682800292969	860.6455956998337
551	that of a and at one.	5.823752403259277	338.2388840051424
552	the before the of.	6.4522223472595215	634.1099405805137
553	for or when in.	5.961909770965576	388.35107809990035
554	some the for and.	7.233419895172119	1384.9508008965583
555	with eight that.	7.262293815612793	1425.5226759795803
556	with and to.	6.031388282775879	416.2925601922315
557	to.	5.9237542152404785	373.8124553053738
558	can as a or as a.	5.653323650360107	285.2379232321696
559	to.	5.9237542152404785	373.8124553053738
560	a with and.	6.622987270355225	752.1887353770911
561	and for and.	6.369706153869629	583.8862309712893
562	to.	5.9237542152404785	373.8124553053738
563	a a on the for.	5.863149166107178	351.83037354326154
564	from but.	7.586132049560547	1970.6762748737092
565	a that down the a.	6.727887153625488	835.3803696358824
566	in and as.	5.936400413513184	378.5697793619933
567	a a of with a and.	6.107421398162842	449.17896683654993
568	there around a for to.	7.329117774963379	1524.0366354447167
569	and on a to a.	5.521620273590088	250.03984210641
