Index	Sentence	Surprisal	PPL
118	people eyes mouth carrion box garlic.	7.582037925720215	1962.6245757286624
119	place shirt experiments tray surge.	10.454665184020996	34705.90707031662
120	food nails them seal's.	8.95252799987793	7727.402061293885
121	sweater hand hurricanes.	9.40788745880127	12184.10434697972
122	murder houses stressful it.	8.79980182647705	6632.929405034938
123	it prey ramps outside coffee.	10.202115058898926	26960.148115214382
124	animals hair axes pole games.	8.396458625793457	4431.345873404199
125	mammal animals numbers rifles tube.	7.976175308227539	2910.776922554794
126	response game casino crews.	10.721383094787598	45314.53381521429
127	dome tires experience.	8.396610260009766	4432.0178680103045
128	i record seat air casino.	10.17490291595459	26236.39678422111
129	her wood delays toasters.	8.656294822692871	5746.204464438517
130	society bees on.	7.310801029205322	1496.375349603801
131	drug their they time surroundings ecosystem.	9.850883483886719	18975.111604122507
132	tastes suck tines landform hammer apartments i piece.	7.790309906005859	2417.066529571463
133	problems it measures lawn handle.	8.812965393066406	6720.819618149812
134	tip protein england inside.	9.41193675994873	12233.541480061544
135	land dream them walls sweet ocean women.	9.410030364990234	12210.241734574669
136	taking crew rubber climbers.	10.546870231628418	38058.13856054239
137	eagles birds door styles desert.	9.080829620361328	8785.251428014932
138	grenade cod it ears front player they.	9.097182273864746	8930.094658449907
139	drink inuit bottoms serves neck.	7.550538539886475	1901.7666327954728
140	i its they adult.	8.375018119812012	4337.346869681147
141	compartment production their itself insects.	9.078062057495117	8760.971306271696
142	rules origins prey.	11.104995727539062	66502.56035881302
143	their motion nectar drunk violin.	9.310042381286621	11048.41636495546
144	blindness lawn infection people india.	7.646461486816406	2093.2255629808687
145	seeds units appearance band-aids books.	7.00975227355957	1107.3801435776586
146	clarinet physicians.	7.264778137207031	1429.0685354505092
147	mouthparts caffeine raw.	9.225354194641113	10151.27096280455
148	rifle exam engineers.	8.758624076843262	6365.34732112227
149	waters step bed.	10.132553100585938	25148.489160592264
150	settlers performance seal tool their.	9.08482837677002	8820.451840497482
151	designs holes.	7.727457523345947	2269.8238840482863
152	farm crust knots.	9.900590896606445	19942.150706604974
153	tongs their silo care.	7.904376029968262	2709.1115802733602
154	she female legs painter purpose opera.	9.723763465881348	16710.01410812374
